artDate,sentiment_class,size
2023-11-21,正向,2
2023-11-21,負向,2
2023-11-22,正向,5
2023-11-22,負向,15
2023-11-23,正向,4
2023-11-23,負向,3
2023-11-24,負向,1
2023-11-24,正向,1
2023-11-25,正向,3
2023-11-25,負向,2
2023-11-26,負向,3
2023-11-27,負向,2
2023-11-28,正向,1
2023-11-28,負向,4
2023-11-29,正向,2
2023-11-29,負向,5
2023-11-30,負向,3
2023-11-30,正向,1
2023-12-01,正向,4
2023-12-01,負向,2
2023-12-02,正向,2
2023-12-02,負向,4
2023-12-03,正向,2
2023-12-03,負向,7
2023-12-04,負向,3
2023-12-04,正向,3
2023-12-05,負向,2
2023-12-05,正向,2
2023-12-06,正向,4
2023-12-06,負向,5
2023-12-07,正向,1
2023-12-07,負向,4
2023-12-09,正向,2
2023-12-09,負向,5
2023-12-10,正向,1
2023-12-10,負向,3
2023-12-11,負向,2
2023-12-11,正向,3
2023-12-12,正向,3
2023-12-12,負向,1
2023-12-13,正向,4
2023-12-13,負向,2
2023-12-14,負向,3
2023-12-15,正向,1
2023-12-15,負向,4
2023-12-16,負向,5
2023-12-16,正向,3
2023-12-17,負向,5
2023-12-17,正向,1
2023-12-18,正向,2
2023-12-18,負向,5
2023-12-19,負向,3
2023-12-20,正向,2
2023-12-21,正向,1
2023-12-21,負向,2
2023-12-22,正向,6
2023-12-23,負向,1
2023-12-23,正向,1
2023-12-24,正向,3
2023-12-24,負向,3
2023-12-25,正向,1
2023-12-25,負向,3
2023-12-26,正向,5
2023-12-26,負向,6
2023-12-27,負向,5
2023-12-27,正向,9
2023-12-28,負向,5
2023-12-28,正向,3
2023-12-29,正向,3
2023-12-29,負向,5
2023-12-30,正向,3
2023-12-30,負向,3
2023-12-31,正向,1
2023-12-31,負向,2
2024-01-01,正向,5
2024-01-01,負向,5
2024-01-02,負向,3
2024-01-02,正向,1
2024-01-03,正向,2
2024-01-03,負向,2
2024-01-04,正向,3
2024-01-04,負向,3
2024-01-05,正向,2
2024-01-05,負向,5
2024-01-06,正向,4
2024-01-06,負向,3
2024-01-07,正向,1
2024-01-07,負向,4
2024-01-08,負向,6
2024-01-09,負向,5
2024-01-10,正向,1
2024-01-10,負向,2
2024-01-11,正向,4
2024-01-11,負向,4
2024-01-12,正向,2
2024-01-12,負向,5
2024-01-13,正向,1
2024-01-13,負向,2
2024-01-14,負向,9
2024-01-14,正向,7
2024-01-15,正向,4
2024-01-15,負向,5
2024-01-16,正向,6
2024-01-16,負向,26
2024-01-17,正向,18
2024-01-17,負向,36
2024-01-18,正向,9
2024-01-18,負向,13
2024-01-19,負向,25
2024-01-19,正向,11
2024-01-20,正向,11
2024-01-20,負向,27
2024-01-21,正向,13
2024-01-21,負向,24
2024-01-22,正向,7
2024-01-22,負向,19
2024-01-23,正向,6
2024-01-23,負向,11
2024-01-24,負向,6
2024-01-24,正向,4
2024-01-25,正向,5
2024-01-25,負向,10
2024-01-26,正向,2
2024-01-26,負向,2
2024-01-27,正向,2
2024-01-27,負向,2
2024-01-28,正向,4
2024-01-28,負向,2
2024-01-29,負向,5
2024-01-29,正向,3
2024-01-30,正向,5
2024-01-30,負向,7
2024-01-31,正向,3
2024-01-31,負向,3
2024-02-01,正向,1
2024-02-01,負向,1
2024-02-02,負向,1
2024-02-02,正向,1
2024-02-03,正向,1
2024-02-04,正向,1
2024-02-04,負向,5
2024-02-05,正向,2
2024-02-05,負向,4
2024-02-06,正向,11
2024-02-06,負向,7
2024-02-07,正向,1
2024-02-07,負向,6
2024-02-08,正向,4
2024-02-08,負向,4
2024-02-09,正向,4
2024-02-10,正向,3
2024-02-10,負向,3
2024-02-11,正向,4
2024-02-11,負向,1
2024-02-12,正向,1
2024-02-12,負向,2
2024-02-13,正向,2
2024-02-13,負向,3
2024-02-14,負向,1
2024-02-14,正向,2
2024-02-15,正向,2
2024-02-15,負向,2
2024-02-16,正向,3
2024-02-16,負向,3
2024-02-17,正向,1
2024-02-17,負向,1
2024-02-18,負向,2
2024-02-19,負向,35
2024-02-19,正向,18
2024-02-20,負向,55
2024-02-20,正向,33
2024-02-21,正向,21
2024-02-21,負向,36
2024-02-22,正向,5
2024-02-22,負向,15
2024-02-23,正向,7
2024-02-23,負向,18
2024-02-24,正向,4
2024-02-24,負向,4
2024-02-25,負向,5
2024-02-25,正向,1
2024-02-26,正向,6
2024-02-26,負向,6
2024-02-27,正向,7
2024-02-27,負向,6
2024-02-28,正向,2
2024-02-28,負向,8
2024-02-29,正向,2
2024-02-29,負向,7
2024-03-01,負向,14
2024-03-01,正向,7
2024-03-02,正向,4
2024-03-02,負向,3
2024-03-03,正向,2
2024-03-03,負向,9
2024-03-04,正向,15
2024-03-04,負向,13
2024-03-05,正向,9
2024-03-05,負向,27
2024-03-06,負向,31
2024-03-06,正向,14
2024-03-07,正向,8
2024-03-07,負向,25
2024-03-08,正向,9
2024-03-08,負向,13
2024-03-09,正向,12
2024-03-09,負向,13
2024-03-10,正向,5
2024-03-10,負向,4
2024-03-11,負向,22
2024-03-11,正向,16
2024-03-12,正向,2
2024-03-12,負向,11
2024-03-13,正向,8
2024-03-13,負向,6
2024-03-14,正向,5
2024-03-14,負向,7
2024-03-15,正向,4
2024-03-15,負向,14
2024-03-16,負向,6
2024-03-16,正向,3
2024-03-17,正向,33
2024-03-17,負向,54
2024-03-18,正向,16
2024-03-18,負向,43
2024-03-19,正向,5
2024-03-19,負向,15
2024-03-20,正向,15
2024-03-20,負向,16
2024-03-21,正向,13
2024-03-21,負向,30
