word,sentiments,size
父母,NULL,88
雞排,NULL,88
接收站,NULL,88
地下,NULL,88
帳單,NULL,88
北部,NULL,88
結束,NULL,88
小型,NULL,88
策略,NULL,87
難以,NULL,87
交通部,NULL,87
出國,NULL,87
項目,NULL,87
規範,NULL,87
納入,NULL,87
變頻,NULL,87
民意,NULL,87
前瞻,NULL,87
藏電,NULL,87
永遠,NULL,87
打臉,NULL,87
重大,NULL,87
老師,NULL,87
部長,NULL,87
司法,NULL,87
法師,NULL,87
判決,NULL,87
目的,NULL,86
電子,NULL,86
做出,NULL,86
狀態,NULL,86
行動,NULL,86
正確,NULL,86
承認,NULL,86
RE100,NULL,86
年前,NULL,86
案場,NULL,86
資安,NULL,86
112,NULL,86
唯一,NULL,86
接獲,NULL,86
公園,NULL,85
貸款,NULL,85
餐飲,NULL,85
趙少康,NULL,85
公尺,NULL,85
買房,NULL,85
思考,NULL,85
政院,NULL,85
回到,NULL,85
改建,NULL,85
辛苦,NULL,85
保障,NULL,84
31,NULL,84
社宅,NULL,84
選票,NULL,84
權益,NULL,84
空氣,NULL,84
沒錢,NULL,84
烏克蘭,NULL,84
台中市,NULL,84
2015,NULL,84
距離,NULL,84
效益,NULL,84
台南市,NULL,83
終於,NULL,83
納稅,NULL,83
打造,NULL,83
賠錢,NULL,83
理解,NULL,83
數量,NULL,83
製造,NULL,83
基載,NULL,83
回家,NULL,82
the,NULL,82
快速,NULL,82
就業,NULL,82
收費,NULL,82
自行,NULL,82
消息,NULL,82
要用,NULL,82
澄清,NULL,82
150,NULL,82
固定,NULL,82
36,NULL,82
有個,NULL,82
資本,NULL,81
小弟,NULL,81
水費,NULL,81
商業,NULL,81
短期,NULL,81
進步,NULL,81
每度電,NULL,81
攝影,NULL,81
機場,NULL,81
黑金,NULL,81
國會,NULL,81
上限,NULL,81
之外,NULL,80
住戶,NULL,80
英國,NULL,80
半年,NULL,80
監察院,NULL,80
彰化,NULL,80
簽約,NULL,80
XD,NULL,80
功能,NULL,80
想法,NULL,80
舉行,NULL,80
氣渦輪,NULL,80
年增率,NULL,80
選前,NULL,80
據了解,NULL,80
爸爸,NULL,80
類似,NULL,80
找到,NULL,80
回答,NULL,80
相比,NULL,80
2017,NULL,80
慢慢,NULL,80
認知,NULL,80
調升,NULL,79
訓練,NULL,79
先進,NULL,79
日電,NULL,79
黃國昌,NULL,79
佔比,NULL,79
中捷,NULL,79
旅遊,NULL,79
上任,NULL,79
生意,NULL,79
特定,NULL,79
一路,NULL,79
來到,NULL,79
取代,NULL,79
現金,NULL,79
有感,NULL,79
一場,NULL,79
家裡,NULL,78
吃飯,NULL,78
外面,NULL,78
言論,NULL,78
安安,NULL,78
紛紛,NULL,78
核心,NULL,78
豬肉,NULL,78
用水,NULL,78
工具,NULL,78
為例,NULL,78
乾貯,NULL,78
將會,NULL,78
污染,NULL,78
回來,NULL,78
感受,NULL,77
修正,NULL,77
議會,NULL,77
下半年,NULL,77
違反,NULL,77
核二廠,NULL,77
差距,NULL,77
億美,NULL,77
車站,NULL,77
不想,NULL,77
電信,NULL,77
認定,NULL,77
具體,NULL,76
身為,NULL,76
亞洲,NULL,76
更換,NULL,76
立法,NULL,76
參加,NULL,76
立院,NULL,76
節目,NULL,76
超徵,NULL,76
貿易,NULL,76
330,NULL,76
先前,NULL,76
執照,NULL,76
金融,NULL,76
屬於,NULL,76
and,NULL,75
PTT,NULL,75
出租,NULL,75
人物,NULL,75
觀察,NULL,75
冰箱,NULL,75
電線,NULL,75
排放,NULL,75
兩次,NULL,75
售電,NULL,75
拿到,NULL,75
協會,NULL,74
地點,NULL,74
五年,NULL,74
所得,NULL,74
退休,NULL,74
Samsung,NULL,74
電動機車,NULL,74
冬天,NULL,74
一段,NULL,74
掌握,NULL,74
明確,NULL,74
88,NULL,74
透露,NULL,74
大部分,NULL,74
大規模,NULL,74
一位,NULL,74
意義,NULL,73
變化,NULL,73
概念,NULL,73
燃料棒,NULL,73
初步,NULL,73
公路,NULL,73
800,NULL,73
內政部,NULL,73
經濟日報,NULL,73
600,NULL,73
售價,NULL,73
三個,NULL,73
百分,NULL,73
老人,NULL,73
陳其邁,NULL,73
商品,NULL,73
非法,NULL,73
鳳山,NULL,73
還不,NULL,73
現行,NULL,73
取消,NULL,73
代理,NULL,73
打算,NULL,73
曾經,NULL,72
決議,NULL,72
全數,NULL,72
沒關係,NULL,72
沒人,NULL,72
物資,NULL,72
電話,NULL,72
族群,NULL,72
變更,NULL,72
表達,NULL,72
網咖,NULL,72
史上,NULL,72
商家,NULL,72
400,NULL,72
上半年,NULL,72
登記,NULL,72
離開,NULL,72
聲明,NULL,71
飛彈,NULL,71
習慣,NULL,71
公主,NULL,71
打開,NULL,71
換算,NULL,71
消防,NULL,71
平常,NULL,71
位置,NULL,71
總是,NULL,71
不應該,NULL,71
